@relation menu-weka.filters.unsupervised.attribute.Add-NSize-Clast-W1.0-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.Add-NPrice-Clast-W1.0

@attribute Category {Breakfast,'Beef & Pork','Chicken & Fish','Snacks & Sides',Desserts,Beverages,'Coffee & Tea','Smoothies & Shakes'}
@attribute Item string
@attribute Calories numeric
@attribute 'Calories from Fat' numeric
@attribute 'Total Fat (\% Daily Value)' numeric
@attribute 'Saturated Fat (\% Daily Value)' numeric
@attribute 'Trans Fat' numeric
@attribute 'Cholesterol (\% Daily Value)' numeric
@attribute 'Sodium (\% Daily Value)' numeric
@attribute 'Carbohydrates (\% Daily Value)' numeric
@attribute 'Dietary Fiber (\% Daily Value)' numeric
@attribute Sugars numeric
@attribute Protein numeric
@attribute 'Vitamin A (\% Daily Value)' numeric
@attribute 'Vitamin C (\% Daily Value)' numeric
@attribute 'Calcium (\% Daily Value)' numeric
@attribute 'Iron (\% Daily Value)' numeric
@attribute Size numeric
@attribute Price numeric

@data
Beverages,'Minute Maid Orange Juice (Medium)',190,0,0,0,0,0,0,15,0,39,3,0,160,4,0,16,1.8
Beverages,'Minute Maid Orange Juice (Large)',280,0,0,0,0,0,0,22,0,58,4,0,240,4,0,22,2.4
Beverages,'Dasani Water Bottle',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.9,1.9
'Coffee & Tea','Iced Tea (Small)',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2.5
'Coffee & Tea','Iced Tea (Medium)',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,3.1
'Coffee & Tea','Iced Tea (Large)',0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,30,4.3
'Coffee & Tea','Iced Tea (Child)',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2
'Coffee & Tea','Sweet Tea (Small)',150,0,0,0,0,0,0,12,0,36,1,0,0,0,0,16,2.5
'Coffee & Tea','Sweet Tea (Medium)',180,0,0,0,0,0,0,15,0,45,1,0,0,0,0,21,3.1
'Coffee & Tea','Sweet Tea (Large)',220,0,0,0,0,0,1,18,0,54,1,0,0,0,0,30,4.3
'Coffee & Tea','Sweet Tea (Child)',110,0,0,0,0,0,0,9,0,27,0,0,0,0,0,12,2
'Coffee & Tea','Coffee (Small)',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2
'Coffee & Tea','Coffee (Medium)',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2.5
'Coffee & Tea','Coffee (Large)',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2.5
'Coffee & Tea','Latte (Small)',170,80,13,24,0,9,5,5,3,12,9,8,0,30,0,12,2
'Coffee & Tea','Latte (Medium)',210,90,16,30,0,11,6,6,4,15,11,10,0,35,0,16,2.5
'Coffee & Tea','Latte (Large)',280,120,21,39,0,14,8,8,6,20,15,15,0,50,2,20,3
'Coffee & Tea','Caramel Latte (Small)',270,80,13,24,0,9,5,13,3,38,9,8,0,30,0,12,2
'Coffee & Tea','Caramel Latte (Medium)',340,90,16,30,0,11,6,17,4,48,11,10,0,35,0,16,2.5
'Coffee & Tea','Caramel Latte (Large)',430,120,21,39,0,14,8,21,6,59,15,15,0,50,2,20,3
'Coffee & Tea','Hazelnut Latte (Small)',270,80,13,24,0,9,5,13,3,38,9,8,0,30,0,12,2
'Coffee & Tea','Hazelnut Latte (Medium)',330,90,16,30,0,11,6,17,4,47,11,10,0,35,0,16,2.5
'Coffee & Tea','Hazelnut Latte (Large)',430,120,21,39,0,14,8,21,6,58,15,15,0,50,2,20,3
'Coffee & Tea','French Vanilla Latte (Small)',260,80,13,24,0,9,5,13,3,36,9,8,0,30,0,12,2
'Coffee & Tea','French Vanilla Latte (Medium)',330,90,16,30,0,11,6,16,4,45,11,10,0,35,2,16,2.5
'Coffee & Tea','French Vanilla Latte (Large)',420,120,21,39,0,14,8,20,6,56,15,15,0,50,2,20,3
'Coffee & Tea','Latte with Sugar Free French Vanilla Syrup (Small)',210,80,13,24,0,9,6,8,4,12,9,8,0,30,0,12,2
'Coffee & Tea','Latte with Sugar Free French Vanilla Syrup (Medium)',260,90,16,30,0,11,8,10,5,15,12,10,0,35,0,16,2.5
'Coffee & Tea','Latte with Sugar Free French Vanilla Syrup (Large)',330,120,21,39,0,14,10,12,7,20,15,15,0,50,2,20,3
'Coffee & Tea','Nonfat Latte (Small)',100,0,0,0,0,2,5,5,3,13,10,10,0,30,0,12,2
'Coffee & Tea','Nonfat Latte (Medium)',130,0,0,0,0,2,6,6,4,16,12,15,0,40,0,16,2.5
'Coffee & Tea','Nonfat Latte (Large)',170,0,1,0,0,3,7,8,6,21,16,15,0,50,2,20,3
'Coffee & Tea','Nonfat Caramel Latte (Small)',200,0,0,0,0,2,5,14,3,39,10,10,0,30,0,12,2
'Coffee & Tea','Nonfat Caramel Latte (Medium)',250,0,0,0,0,2,6,17,4,48,12,15,0,40,0,16,2.5
'Coffee & Tea','Nonfat Caramel Latte (Large)',310,0,1,0,0,3,7,21,6,59,16,15,0,50,2,20,3
'Coffee & Tea','Nonfat Hazelnut Latte (Small)',200,0,0,0,0,2,5,13,3,38,10,10,0,30,0,12,2
'Coffee & Tea','Nonfat Hazelnut Latte (Medium)',250,0,0,0,0,2,6,17,4,48,12,15,0,40,0,16,2.5
'Coffee & Tea','Nonfat Hazelnut Latte (Large)',310,0,1,0,0,3,7,21,6,59,16,15,0,50,2,20,3
'Coffee & Tea','Nonfat French Vanilla Latte (Small)',190,0,0,0,0,2,5,13,3,37,10,10,0,30,0,12,2
'Coffee & Tea','Nonfat French Vanilla Latte (Medium)',240,0,0,0,0,2,6,16,4,46,12,15,0,40,2,16,2.5
'Coffee & Tea','Nonfat French Vanilla Latte (Large)',300,0,1,0,0,3,8,20,6,56,16,15,0,50,2,20,3
'Coffee & Tea','Nonfat Latte with Sugar Free French Vanilla Syrup (Small)',140,0,0,0,0,2,6,8,4,13,10,10,0,30,0,12,2
'Coffee & Tea','Nonfat Latte with Sugar Free French Vanilla Syrup (Medium)',170,0,0,0,0,2,8,10,5,16,12,15,0,40,0,16,2.5
'Coffee & Tea','Nonfat Latte with Sugar Free French Vanilla Syrup (Large)',220,0,1,0,0,3,10,13,7,21,16,15,0,50,2,20,3
'Coffee & Tea','Mocha (Small)',340,100,18,34,0,12,6,16,6,42,10,10,0,30,6,12,2
'Coffee & Tea','Mocha (Medium)',410,120,21,40,0,14,8,20,8,53,13,10,0,40,6,16,2.5
'Coffee & Tea','Mocha (Large)',500,150,26,49,0.5,17,10,24,10,63,16,15,0,50,8,20,3
'Coffee & Tea','Mocha with Nonfat Milk (Small)',270,30,5,11,0,5,6,16,6,43,11,10,0,35,6,12,2
'Coffee & Tea','Mocha with Nonfat Milk (Medium)',330,30,6,11,0,5,8,20,8,53,13,15,0,40,6,16,2.5
'Coffee & Tea','Mocha with Nonfat Milk (Large)',390,35,6,12,0,6,10,24,10,64,17,20,0,50,8,20,3
'Coffee & Tea','Caramel Mocha (Small)',320,100,17,33,0,12,7,15,3,40,10,10,0,30,2,12,2
'Coffee & Tea','Caramel Mocha (Medium)',390,120,21,40,0.5,14,9,18,4,50,12,15,0,40,2,16,2.5
'Coffee & Tea','Caramel Mocha (Large)',480,150,26,49,0.5,17,11,22,5,60,16,15,0,50,4,20,3
'Coffee & Tea','Nonfat Caramel Mocha (Small)',250,30,5,10,0,5,7,15,3,41,10,10,0,35,2,12,2
'Coffee & Tea','Nonfat Caramel Mocha (Medium)',310,30,5,11,0,5,9,19,4,51,13,15,0,40,2,16,2.5
'Coffee & Tea','Nonfat Caramel Mocha (Large)',370,35,6,11,0,6,11,22,5,61,17,20,0,50,4,20,3
'Coffee & Tea','Hot Chocolate (Small)',360,120,21,39,0,14,8,17,3,45,11,10,0,40,6,12,2
'Coffee & Tea','Hot Chocolate (Medium)',440,140,25,47,0.5,16,9,20,4,56,14,15,0,45,6,16,2.5
'Coffee & Tea','Hot Chocolate (Large)',540,180,31,58,0.5,20,12,24,5,68,17,20,0,60,8,20,3
